"year","title","authors","source","volume","issue","doi","document_type","language","country_orig","country","iso3"
2021,"Shellfish Toxin Uptake and Depuration in Multiple Atlantic Canadian Molluscan Species: Application to Selection of Sentinel Species in Monitoring Programs","Rourke, WA; Justason, A; Martin, JL; Murphy, CJ","Toxins","13","2","10.3390/toxins13020168","Article","English","Canada","Canada","CAN"
2019,"Spatial variability and depuration of tetrodotoxin in the bivalve Paphies australis from New Zealand","Biessy, L; Smith, KF; Harwood, DT; Boundy, MJ; Hawes, I; Wood, SA","Toxicon-X","2",NA,"10.1016/j.toxcx.2019.100008","Article","English","New Zealand","New Zealand","NZL"
2011,"Comparative dynamics of paralytic shellfish toxins (PST) in a tolerant and susceptible population of the copepod Acartia hudsonica","Dam, HG; Haley, ST","Harmful Algae","10","3","10.1016/j.hal.2010.10.004","Article","English","CT 06340 USA","United States","USA"
2012,"Calanus spp.-Vectors for the biotoxin, domoic acid, in the Arctic marine ecosystem?","Tammilehto, A; Nielsen, TG; Krock, B; Moller, EF; Lundholm, N","Harmful Algae","20",NA,"10.1016/j.hal.2012.10.004","Article","English","Denmark","Denmark","DNK"
2020,"Response of fatty acids and lipid metabolism enzymes during accumulation, depuration and esterification of diarrhetic shellfish toxins in mussels (Mytilus galloprovincialis)","Qiu, JB; Ji, Y; Fang, Y; Zhao, MY; Wang, SQ; Ai, QH; Li, AF","Ecotoxicology and Environmental Safety","206",NA,"10.1016/j.ecoenv.2020.111223","Article","English","Peoples R China","China","CHN"
2021,"Depuration Kinetics and Growth Dilution of Caribbean Ciguatoxin in the Omnivore Lagodon rhomboides: Implications for Trophic Transfer and Ciguatera Risk","Bennett, CT; Robertson, A","Toxins","13","11","10.3390/toxins13110774","Article","English","AL 36688 USA","United States","USA"
2023,"Cation-Exchange Resin Applied to Paralytic Shellfish Toxins Depuration from Bivalves Exposed to Gymnodinium catenatum","Leal, JF; Bombo, G; Amado, PSM; Pereira, H; Cristiano, MLS","Foods","12","4","10.3390/foods12040768","Article","English","Portugal","Portugal","PRT"
2003,"Field depuration and biotransformation of paralytic shellfish toxins in scallop Chlamys nobilis and green-lipped mussel Perna viridis","Choi, MC; Hsieh, DPH; Lam, PKS; Wang, WX","Marine Biology","143","5","10.1007/s00227-003-1148-y","Article","English","Peoples R China","China","CHN"
2004,"Analysis of the importance of lipid breakdown for elimination of okadaic acid (diarrhetic shellfish toxin) in mussels, Mytilus edulis:: results from a field study and a laboratory experiment","Svensson, S; Förlin, L","Aquatic Toxicology","66","4","10.1016/j.aquatox.2003.11.002","Article","English","Sweden","Sweden","SWE"
2020,"Paralytic shellfish toxin uptake, tissue distribution, and depuration in the Southern Rock Lobster Jasus edwardsii Hutton","Turnbull, A; Malhi, N; Seger, A; Harwood, T; Jolley, J; Fitzgibbon, Q; Hallegraeff, G","Harmful Algae","95",NA,"10.1016/j.hal.2020.101818","Article","English","Australia","Australia","AUS"
2014,"Temperature effects on kinetics of paralytic shellfish toxin elimination in Atlantic surfclams, Spisula solidissima","Bricelj, VM; Cembella, AD; Laby, D","Deep-Sea Research Part Ii-Topical Studies in Oceanography","103",NA,"10.1016/j.dsr2.2013.05.014","Article","English","NJ 08901 USA","United States","USA"
2020,"Biokinetics and biotransformation of paralytic shellfish toxins in different tissues of Yesso scallops, Patinopecten yessoensis","Liu, Y; Kong, FZ; Xun, XG; Dai, L; Geng, HX; Hu, XL; Yu, RC; Bao, ZM; Zhou, MJ","Chemosphere","261",NA,"10.1016/j.chemosphere.2020.128063","Article","English","Peoples R China","China","CHN"
2020,"The occurrence of lipophilic toxins in shellfish from the Middle Adriatic Sea","Talic, S; Skobic, D; Dedic, A; Nazlic, N; Ujevic, I; Ivankovic, A; Pavela-Vrancic, M","Toxicon","186",NA,"10.1016/j.toxicon.2020.07.026","Article","English","Bosnia & Herceg","Bosnia & Herzegovina","BIH"
2017,"Effects of depuration on histopathological changes in tilapia (Oreochromis niloticus) after exposure to cylindrospermopsin","Guzmán-Guillén, R; Ortega, AIP; Moreno, IM; Ríos, V; Moyano, R; Blanco, A; Vasconcelos, V; Cameán, AM","Environmental Toxicology","32","4","10.1002/tox.22326","Article","English","Spain","Spain","ESP"
2006,"Nodularin accumulation during cyanobacterial blooms and experimental depuration in zooplankton","Karjalainen, M; Kozlowsky-Suzuki, B; Lehtiniemi, M; Engström-Öst, J; Kankaanpää, H; Viitasalo, M","Marine Biology","148","4","10.1007/s00227-005-0126-y","Article","English","Sweden","Sweden","SWE"
2016,"Changes of paralytic shellfish toxins in gills and digestive glands of the cockle Cerastoderma edule under post-bloom natural conditions","Costa, ST; Vale, C; Raimundo, J; Matias, D; Botelho, MJ","Chemosphere","149",NA,"10.1016/j.chemosphere.2016.01.105","Article","English","Portugal","Portugal","PRT"
2024,"Accumulation and depuration of 4,5-dihydro-KmTx2 from Karlodinium veneficum in the bivalves, Mercenaria mercenaria and Sinonovacula constricta","Li, YR; Chen, R; Zhu, ZJ; Mu, T; Ran, ZS; Xu, JL; Zhou, CX; Yan, XJ","Harmful Algae","139",NA,"10.1016/j.hal.2024.102736","Article","English","Peoples R China","China","CHN"
2019,"Paralytic Shellfish Toxins and Ocean Warming: Bioaccumulation and Ecotoxicological Responses in Juvenile Gilthead Seabream (Sparus aurata)","Barbosa, V; Santos, M; Anacleto, P; Maulvault, AL; Pousao-Ferreira, P; Costa, PR; Marques, A","Toxins","11","7","10.3390/toxins11070408","Article","English","Portugal","Portugal","PRT"
2021,"Field Validation of the Southern Rock Lobster Paralytic Shellfish Toxin Monitoring Program in Tasmania, Australia","Turnbull, A; Dorantes-Aranda, JJ; Madigan, T; Jolley, J; Revill, H; Harwood, T; Hallegraeff, G","Marine Drugs","19","9","10.3390/md19090510","Article","English","Australia","Australia","AUS"
2013,"Okadaic Acid Meet and Greet: An Insight into Detection Methods, Response Strategies and Genotoxic Effects in Marine Invertebrates","Prego-Faraldo, MV; Valdiglesias, V; Méndez, J; Eirín-López, JM","Marine Drugs","11","8","10.3390/md11082829","Review","English","Spain","Spain","ESP"
1999,"Okadaic acid depuration in the mussel Mytilus galloprovincialis:: one- and two-compartment models and the effect of environmental conditions","Blanco, J; Fernández, ML; Míguez, A; Moroño, A","Marine Ecology Progress Series","176",NA,"10.3354/meps176153","Article","English","Spain","Spain","ESP"
2016,"Evidence of freshwater algal toxins in marine shellfish: Implications for human and aquatic health","Gibble, CM; Peacock, MB; Kudela, RM","Harmful Algae","59",NA,"10.1016/j.hal.2016.09.007","Article","English","CA 95064 USA","United States","USA"
2024,"Effects of Vibrio vulnificus and Microcystis aeruginosa co-exposures on microplastic accumulation and depuration in the Eastern Oyster (Crassostrea virginica)","Wenclawiak, JT; Weinstein, JE; Key, PB; Plante, CJ; Beckingham, BA","Environmental Pollution","359",NA,"10.1016/j.envpol.2024.124558","Article","English","SC 29412 USA","United States","USA"
2020,"Paralytic Shellfish Toxins (PST)-Transforming Enzymes: A Review","Raposo, MIC; Gomes, MTSR; Botelho, MJ; Rudnitskaya, A","Toxins","12","5","10.3390/toxins12050344","Review","English","Portugal","Portugal","PRT"
2021,"Experimental Evidence of Ciguatoxin Accumulation and Depuration in Carnivorous Lionfish","Leite, ID; Sdiri, K; Taylor, A; Viallon, J; Gharbia, HB; Júnior, LLM; Swarzenski, P; Oberhaensli, F; Darius, HT; Chinain, M; Bottein, MYD","Toxins","13","8","10.3390/toxins13080564","Article","English","Brazil","Brazil","BRA"
2018,"Combined effect of temperature and nutritional regime on the elimination of the lipophilic toxin okadaic acid in the naturally contaminated wedge shell Donax trunculus","Botelho, MJ; Vale, C; Joaquim, S; Costa, ST; Soares, F; Roque, C; Matias, D","Chemosphere","190",NA,"10.1016/j.chemosphere.2017.09.100","Article","English","Portugal","Portugal","PRT"
2003,"Does uptake of Alexandrium fundyense cysts contribute to the levels of PSP toxin found in the sea scallop, Placopecten magellanicus?","Haya, K; Martin, JL; Robinson, SMC; Martin, JD; Khots, A","Harmful Algae","2","1","10.1016/S1568-9883(02)00068-9","Article","English","Canada","Canada","CAN"
2018,"Transformation and Depuration o f Paralytic Shellfish Toxins in the Geoduck Clam Panopea globosa From the Northern Gulf of California","Medina-Elizaide, J; García-Mendoza, E; Turner, AD; Sánchez-Bravo, YA; Murillo-Martínez, R","Frontiers in Marine Science","5",NA,"10.3389/fmars.2018.00335","Article","English","Mexico","Mexico","MEX"
2017,"Accumulation and depuration of paralytic shellfish toxins by Australian abalone Haliotis rubra: Conclusive association with Gymnodinium catenatum dinoflagellate blooms","McLeod, C; Dowsett, N; Hallegraeff, G; Harwood, DT; Hay, B; Ibbott, S; Malhi, N; Murray, S; Smith, K; Tan, J; Turnbull, A","Food Control","73",NA,"10.1016/j.foodcont.2016.10.012","Article","English","Australia","Australia","AUS"
2001,"Accumulation and depuration kinetics of paralytic shellfish toxins in the scallop Patinopecten yessoensis fed Alexandrium tamarense","Sekiguchi, K; Sato, S; Ogata, T; Kaga, S; Kodama, M","Marine Ecology Progress Series","220",NA,"10.3354/meps220213","Article","English","Japan","Japan","JPN"
2021,"Effect of carboxymethyl chitosan on the detoxification and biotransformation of paralytic shellfish toxins in oyster Ostrea rivularis","Yang, XH; Hu, XQ; Dong, ZQ; Li, M; Zheng, ZX; Xie, WC","Toxicon","196",NA,"10.1016/j.toxicon.2021.03.006","Article","English","Peoples R China","China","CHN"
2025,"Environmental factors driving microcystin contamination of estuarine bivalve populations downstream of freshwater cyanobacterial blooms","Wallace, MK; Kudela, RM; Gobler, CJ","Marine Pollution Bulletin","214",NA,"10.1016/j.marpolbul.2025.117798","Article","English","NY 11968 USA","United States","USA"
1992,"DEPURATION OF DOMOIC ACID FROM LIVE BLUE MUSSELS (MYTILUS-EDULIS)","NOVACZEK, I; MADHYASTHA, MS; ABLETT, RF; DONALD, A; JOHNSON, G; NIJJAR, MS; SIMS, DE","Canadian Journal of Fisheries and Aquatic Sciences","49","2","10.1139/f92-035","Article","English","CANADA","Canada","CAN"
2010,"Domoic acid uptake and elimination kinetics in oysters and mussels in relation to body size and anatomical distribution of toxin","Mafra, LL; Bricelj, VM; Fennel, K","Aquatic Toxicology","100","1","10.1016/j.aquatox.2010.07.002","Article","English","Canada","Canada","CAN"
2012,"Detection and sub-cellular distribution of the amnesic shellfish toxin, domoic acid, in the digestive gland of Octopus vulgaris during periods of toxin absence","Lage, S; Raimundo, J; Brotas, V; Costa, PR","Marine Biology Research","8","8","10.1080/17451000.2012.659668","Article","English","Portugal","Portugal","PRT"
2015,"Transfer of microcystin from freshwater lakes to Puget Sound, WA and toxin accumulation in marine mussels (Mytilus trossulus)","Preece, EP; Moore, BC; Hardy, FJ","Ecotoxicology and Environmental Safety","122",NA,"10.1016/j.ecoenv.2015.07.013","Article","English","WA 99164 USA","United States","USA"
2020,"Rapid Domoic Acid Depuration in the Scallop Argopecten purpuratus and Its Transfer from the Digestive Gland to Other Organs","Alvarez, G; Rengel, J; Araya, M; Alvarez, F; Pino, R; Uribe, E; Díaz, PA; Rossignoli, AE; López-Rivera, A; Blanco, J","Toxins","12","11","10.3390/toxins12110698","Article","English","Chile","Chile","CHL"
2023,"Dual characteristics of Bellamya aeruginosa encountering Microcystis aeruginosa: Algal control and toxin depuration","Wang, M; Qiu, Y; Zhang, ZY; Chen, YT; Qin, WL; Guan, WC; Li, G; Yu, HG; Dai, CJ; Li, RH; Ma, ZL","Ecotoxicology and Environmental Safety","252",NA,"10.1016/j.ecoenv.2023.114596","Article","English","Peoples R China","China","CHN"
2011,"ACCUMULATION AND DEPURATION OF YESSOTOXIN IN TWO BIVALVES","Röder, K; Fritz, N; Gerdts, G; Luckas, B","Journal of Shellfish Research","30","1","10.2983/035.030.0124","Article","English","Germany","Germany","DEU"
2020,"Molecular Responses of Mussel Mytilus galloprovincialis Associated to Accumulation and Depuration of Marine Biotoxins Okadaic Acid and Dinophysistoxin-1 Revealed by Shotgun Proteomics","Martins, JC; Domínguez-Pérez, D; Azevedo, C; Braga, AC; Costae, PR; Osório, H; Vasconcelos, V; Campos, A","Frontiers in Marine Science","7",NA,"10.3389/fmars.2020.589822","Article","English","Portugal","Portugal","PRT"
2015,"Prediction of on-site depuration of paralytic shellfish poisoning toxins accumulated in the scallop Patinopecten yessoensis of Ofunato Bay, Japan","Kaga, S; Sato, S; Kaga, Y; Naiki, K; Watanabe, S; Yamada, Y; Ogata, T","Fisheries Science","81","4","10.1007/s12562-015-0891-6","Article","English","Japan","Japan","JPN"
2020,"Distribution of Domoic Acid in the Digestive Gland of the King ScallopPecten maximus","Blanco, J; Mauriz, A; Alvarez, G","Toxins","12","6","10.3390/toxins12060371","Article","English","Spain","Spain","ESP"
2009,"Changes in the GST Activity of the Mussel Mytilus galloprovincialis during Exposure and Depuration of Microcystins","Fernandes, S; Welker, M; Vasconcelos, VM","Journal of Experimental Zoology Part A-Ecological and Integrative Physiology","311A","3","10.1002/jez.524","Article","English","Portugal","Portugal","PRT"
2016,"Accumulation, transformation and breakdown of DSP toxins from the toxic dinoflagellate Dinophysis acuta in blue mussels, Mytilus edulis","Nielsen, LT; Hansen, PJ; Krock, B; Vismann, B","Toxicon","117",NA,"10.1016/j.toxicon.2016.03.021","Article","English","Denmark","Denmark","DNK"
2021,"A Microencapsulation Method for Delivering Tetrodotoxin to Bivalves to Investigate Uptake and Accumulation","Biessy, L; Smith, KF; Wood, SA; Tidy, A; van Ginkel, R; Bowater, JRD; Hawes, I","Marine Drugs","19","1","10.3390/md19010033","Article","English","New Zealand","New Zealand","NZL"
2021,"Accumulation of paralytic shellfish toxins by Southern Rock lobster Jasus edwardsii causes minimal impact on lobster health","Turnbull, A; Malhi, N; Seger, A; Jolley, J; Hallegraeff, G; Fitzgibbon, Q","Aquatic Toxicology","230",NA,"10.1016/j.aquatox.2020.105704","Article","English","Australia","Australia","AUS"
2012,"Analysis of paralytic shellfish toxins and their metabolites in shellfish from the North Yellow Sea of China","Li, A; Ma, J; Cao, J; Wang, Q; Yu, R; Thomas, K; Quilliam, MA","Food Additives and Contaminants Part A-Chemistry Analysis Control Exposure and Risk Assessment","29","9","10.1080/19440049.2012.699005","Article","English","Peoples R China","China","CHN"
2007,"Modelling the accumulation of PSP toxins in Thau Lagoon oysters (Crassostrea gigas) from trials using mixed cultures of Alexandrium catenella and Thalassiosira weissflogii","Lassus, P; Amzil, Z; Baron, R; Séchet, V; Barillé, L; Abadie, E; Bardouil, M; Sibat, M; Truquet, P; Bérard, JB; Gueguen, M","Aquatic Living Resources","20","1","10.1051/alr:2007016","Article; Proceedings Paper","English","France","France","FRA"
2009,"Photocatalytic properties of nanocrystalline titanium dioxide films in the degradation of domoic acid in aqueous solution: potential for use in molluscan shellfish biotoxin depuration facilities","Djaoued, Y; Robichaud, J; Thibodeau, M; Balaji, S; Tchoukanova, N; Bates, SS","Food Additives and Contaminants Part A-Chemistry Analysis Control Exposure and Risk Assessment","26","2","10.1080/02652030802322887","Article","English","Canada","Canada","CAN"
2025,"Metabolic transformation of paralytic shellfish toxins in the mussel Mytilus galloprovincialis under different exposure modes","Zheng, GC; Che, HY; Wu, HY; Deng, YX; Guo, MM; Peng, JX; Geng, QQ; Tan, ZJ","Harmful Algae","141",NA,"10.1016/j.hal.2024.102771","Article","English","Peoples R China","China","CHN"
2007,"Trophic transfer of paralytic shellfish toxins from the cladoceran (Moina mongolica) to larvae of the fish (Sciaenops ocellatus)","Jlang, TJ; Wang, DZ; Niu, T; Xu, YX","Toxicon","50","5","10.1016/j.toxicon.2007.05.008","Article","English","Peoples R China","China","CHN"
2008,"Uptake, elimination, and biotransformation of aqueous and dietary DDT in marine fish","Kwong, RWM; Yu, PKN; Lam, PKS; Wang, WX","Environmental Toxicology and Chemistry","27","10","10.1897/07-608.1","Article","English","Peoples R China","China","CHN"
2007,"Uptake, tissue distribution and excretion of domoic acid after oral exposure in coho salmon (Oncorhynchus kisutch)","Lefebvre, KA; Noren, DP; Schultz, IR; Bogard, SM; Wilson, J; Eberhart, BTL","Aquatic Toxicology","81","3","10.1016/j.aquatox.2006.12.009","Article","English","WA 98352 USA","United States","USA"
2024,"The amnesic shellfish poisoning toxin, domoic acid: The tattoo of the king scallop Pecten maximus","García-Corona, JL; Fabioux, C; Vanmaldergem, J; Petek, S; Derrien, A; Terre-Terrillon, A; Bressolier, L; Breton, F; Hegaret, H","Harmful Algae","133",NA,"10.1016/j.hal.2024.102607","Article","English","France","France","FRA"
2020,"Paralytic shellfish toxin profiles in mussel, cockle and razor shell under post-bloom natural conditions: Evidence of higher biotransformation in razor shells and cockles","Botelho, MJ; Marques, F; Freitas, R; Pires, A; Pereira, E; Vale, C","Marine Environmental Research","154",NA,"10.1016/j.marenvres.2019.104839","Article","English","Portugal","Portugal","PRT"
2018,"Dynamics of paralytic shellfish toxins and their metabolites during timecourse exposure of scallops Chlamys farreri and mussels Mytilus galloprovincialis to Alexandrium pacificum","Qiu, JB; Meng, FP; Ding, L; Che, YJ; McCarron, P; Beach, DG; Li, AF","Aquatic Toxicology","200",NA,"10.1016/j.aquatox.2018.05.003","Article","English","Peoples R China","China","CHN"
2013,"Evaluation of Passive Samplers as a Monitoring Tool for Early Warning of Dinophysis Toxins in Shellfish","Pizarro, G; Moroño, A; Paz, B; Franco, JM; Pazos, Y; Reguera, B","Marine Drugs","11","10","10.3390/md11103823","Article","English","Spain","Spain","ESP"
2018,"The role of marine biotoxins on the trophic transfer of Mn and Zn in fish","Pouil, S; Clausing, RJ; Metian, M; Bustamante, P; Bottein, MYD","Aquatic Toxicology","198",NA,"10.1016/j.aquatox.2018.03.004","Article","English","Monaco","Monaco","MCO"
2006,"The uptake, distribution and elimination of paralytic shellfish toxins in mussels and fish exposed to toxic dinoflagellates","Kwong, RWM; Wang, WX; Lam, PKS; Yu, PKN","Aquatic Toxicology","80","1","10.1016/j.aquatox.2006.07.016","Article","English","Peoples R China","China","CHN"
2006,"Estimating the accumulation and transfer of Nodularia spumigena toxins by the blue mussel Mytilus edulis:: An appraisal from culture and mesocosm experiments","Strogyloudi, E; Giannakourou, A; Legrand, C; Ruehl, A; Granéli, E","Toxicon","48","4","10.1016/j.toxicon.2006.05.009","Article","English","Germany","Germany","DEU"
1997,"Domoic acid uptake and depuration in Dungeness crab (Cancer magister Dana 1852)","Lund, JAK; Barnett, HJ; Hatfield, CL; Gauglitz, EJ; Wekell, JC; Rasco, B","Journal of Shellfish Research","16","1",NA,"Article","English","WA 98105 USA","United States","USA"
2021,"Rapid uptake and slow depuration: Health risks following cyanotoxin accumulation in mussels?","Camacho-Muñoz, D; Waack, J; Turner, AD; Lewis, AM; Lawton, LA; Edwards, C","Environmental Pollution","271",NA,"10.1016/j.envpol.2020.116400","Article","English","Scotland",NA,NA
2021,"Toxin accumulation, detoxification and oxidative stress in bivalve (Anomalocardia flexuosa) exposed to the dinoflagellate Prorocentrum lima","Leite, ID; Sandrini-Neto, L; Squella, FL; Alves, TP; Schramm, MA; Calado, SLD; de Assis, HCS; Mafra, LL","Aquatic Toxicology","232",NA,"10.1016/j.aquatox.2020.105738","Article","English","Brazil","Brazil","BRA"
2022,"The value of toxin profiles in the chemotaxonomic analysis of paralytic shellfish toxins in determining the relationship between British Alexandrium spp. and experimentally contaminated Mytilus sp.","Lewis, AM; Dean, KJ; Hartnell, DM; Percy, L; Turner, AD; Lewis, JM","Harmful Algae","111",NA,"10.1016/j.hal.2021.102131","Article","English","England",NA,NA
1991,"MONITORING THE ACCUMULATION AND DEPURATION OF PARALYTIC SHELLFISH TOXINS IN MOLLUSCAN SHELLFISH BY HIGH-PERFORMANCE LIQUID-CHROMATOGRAPHY AND IMMUNOLOGICAL METHODS","CEMBELLA, AD; LAMOUREUX, G","Molluscan Shellfish Depuration",NA,NA,NA,"Proceedings Paper","English",NA,NA,NA
2010,"Effect of food supply on the detoxification in the blue mussel, Mytilus edulis, contaminated by diarrhetic shellfish toxins","Marcaillou, C; Haure, J; Mondeguer, F; Courcoux, A; Dupuy, B; Pénisson, C","Aquatic Living Resources","23","3","10.1051/alr/2010026","Article","English","France","France","FRA"
2023,"Identification of Monitoring Organ in Bivalves for Early Warning of Paralytic Shellfish Toxins Accumulation","Meng, DT; Shi, JX; Li, ML; Wei, ZC; Wang, YR; Xu, YQ; Li, YB; Bao, ZM; Hu, XL","Journal of Ocean University of China","22","1","10.1007/s11802-023-5402-2","Article","English","Peoples R China","China","CHN"
2008,"Uptake and depuration of anatoxin-a by the mussel Mytilus galloprovincialis (Lamarck, 1819) under laboratory conditions","Osswald, J; Rellán, S; Gago, A; Vasconcelos, V","Chemosphere","72","9","10.1016/j.chemosphere.2008.05.012","Article","English","Portugal","Portugal","PRT"
2020,"Uptake of Paralytic Shellfish Toxins by Blacklip Abalone (Haliotis rubra rubra Leach) from direct exposure to Alexandrium catenella microalgal cells and toxic aquaculture feed","Seger, A; Hallegraeff, G; Stone, DAJ; Bansemer, MS; Harwood, DT; Turnbull, A","Harmful Algae","99",NA,"10.1016/j.hal.2020.101925","Article","English","Australia","Australia","AUS"
2018,"Application of activated carbon to accelerate detoxification of paralytic shellfish toxins from mussels Mytilus galloprovincialis and scallops Chlamys farreri","Qiu, JB; Fan, H; Liu, T; Liang, X; Meng, FP; Quilliam, MA; Li, AF","Ecotoxicology and Environmental Safety","148",NA,"10.1016/j.ecoenv.2017.10.005","Article","English","Peoples R China","China","CHN"
2008,"Cyanobacterial toxins: a qualitative meta-analysis of concentrations, dosage and effects in freshwater, estuarine and marine biota","Ibelings, BW; Havens, KE","Cyanobacterial Harmful Algal Blooms: State of The Science and Research Needs","619",NA,NA,"Article; Proceedings Paper","English","Netherlands","Netherlands","NLD"
2008,"Metabolism of pectenotoxins in brown crabs Cancer pagurus fed blue mussels Mytilus edulis","Li, ZX","Journal of Venomous Animals and Toxins Including Tropical Diseases","14","3",NA,"Article","English","Peoples R China","China","CHN"
2019,"Lipophilic Toxins in Galicia (NW Spain) between 2014 and 2017: Incidence on the Main Molluscan Species and Analysis of the Monitoring Efficiency","Blanco, J; Arévalo, F; Correa, J; Moroño, A","Toxins","11","10","10.3390/toxins11100612","Article","English","Spain","Spain","ESP"
2006,"Accumulation of phycotoxins in the mussel Mytilus galloprovincialis from the central Adriatic Sea","Pavela-Vrancic, M; Ujevic, I; Gladan, ZN; Furey, A","Croatica Chemica Acta","79","2",NA,"Article","English","Ireland","Ireland","IRL"
